date,price
19710818,143.25
19710827,148
19710908,150.88
19710917,142.13
19710928,144.88
19711007,149
19711018,158.25
19711027,161.38
19711105,164.88
19711116,164.13
19711126,165.75
19711207,167.75
19711216,173
19711228,164.13
19720107,161.13
19720118,165.75
19720127,165.88
19720207,160.13
19720216,161.13
19720228,164.75
19720308,160.63
19720317,162.5
19720328,158.13
19720407,160.88
19720418,158
19720427,163.75
19720508,162.75
19720517,163.5
19720526,147.38
19720607,142.88
19720616,143.38
19720627,143
19720707,150.75
19720718,152.25
19720727,153.25
19720807,180.25
19720816,178
19720825,184.5
19720906,191.75
19720915,214.75
19720926,213.5
19721005,208.75
19721016,222.5
19721025,216.5
19721103,223.5
19721115,230
19721127,243.5
19721206,254
19721215,270
19721227,264.25
19730109,263.25
19730118,260.5
19730130,244.37
19730208,222.62
19730220,239.87
19730301,250.5
19730312,229.25
19730321,219.5
19730330,222.75
19730410,227.1
19730419,240.75
19730501,239.25
19730510,237.5
19730521,268.75
19730531,281.25
19730611,283.5
19730620,273.62
19730629,268.62
19730711,273
19730720,314.75
19730731,364
19730809,434
19730820,508.5
19730829,511
19730910,501
19730919,508.5
19730928,491.5
19731010,475.5
19731019,430.5
19731030,419.5
19731108,454
19731119,467.5
19731129,501
19731210,543
19731219,519
19740102,554.5
19740111,573
19740122,567
19740131,564.5
19740211,591.5
19740222,624.75
19740305,582
19740314,532.5
19740325,475
19740403,417.5
19740415,447.5
19740424,409.5
19740503,361.5
19740514,347
19740523,341.5
19740604,357.5
19740613,388
19740624,477
19740703,445
19740715,438.5
19740724,461.5
19740802,432
19740813,451.5
19740822,442
19740903,406.5
19740912,436
19740923,452
19741002,496.5
19741011,516
19741022,527.25
19741031,520.75
19741112,492.5
19741121,467.25
19741203,488.5
19741212,467.25
19741223,462.75
19750103,449.25
19750114,426.5
19750123,398
19750203,385.5
19750212,404.25
19750224,380.5
19750305,360.5
19750314,360.75
19750325,368.5
19750404,377.25
19750415,346.5
19750424,338.25
19750505,313
19750514,320
19750523,321.5
19750604,300.5
19750613,297.5
19750624,321.75
19750703,298.5
19750715,359
19750724,368.75
19750804,370.5
19750813,405.5
19750822,447.5
19750903,413.5
19750912,421
19750923,425.5
19751002,410.75
19751013,406
19751022,396.5
19751031,386.25
19751111,354.5
19751120,332
19751202,345.25
19751211,337.5
19751222,340.75
19760105,350.25
19760114,359.75
19760123,350
19760203,358.5
19760212,387.5
19760224,385
19760304,380.5
19760315,363.5
19760324,366.75
19760402,347.5
19760413,345.25
19760423,335.75
19760504,330.25
19760513,353
19760524,359.75
19760603,366.25
19760614,368.5
19760623,363.25
19760702,380.5
19760714,373
19760723,354.25
19760803,332.5
19760812,325.25
19760823,325.75
19760901,313.75
19760913,309.5
19760922,308.75
19761001,284.25
19761012,294.75
19761021,286.75
19761101,277
19761111,255.75
19761122,263.75
19761202,256.75
19761213,264.5
19761222,268.75
19770104,274.75
19770113,278.75
19770124,281
19770202,272.75
19770211,277.75
19770223,283.5
19770304,273.25
19770315,270.75
19770324,279
19770404,268.5
19770414,267.5
19770425,256.25
19770505,248.75
19770516,248
19770525,248.75
19770606,241.25
19770615,240
19770624,240
19770706,238.75
19770715,229.25
19770726,231
19770804,226.75
19770815,218
19770824,219.25
19770902,222
19770914,234.5
19770923,251.25
19771004,258.25
19771013,245.25
19771024,252
19771102,265.75
19771111,270.25
19771122,272.75
19771202,265
19771213,257
19771222,271
